,yc_url,company_name,batch,sector,one_liner,overall_signal,founder_worked_in_target_industry,founder_held_target_function,founder_has_prior_exit,founder_is_repeat_yc,founder_from_top_co,domain_relevance_score,has_technical_cofounder,has_commercial_cofounder,has_domain_expert,is_solo_founder,team_completeness_score,one_line_risk,one_line_strength,website,has_live_product,has_paying_customers,has_user_evidence,has_public_iteration,has_specific_user_problem,has_beachhead_segment,product_maturity_score,user_understanding_score,sources_with_evidence,strongest_evidence,biggest_product_gap,competitor_count_batch,batch_competitors,has_funded_incumbents,incumbent_names,market_crowding,has_patent_signal,has_oss_alternative,oss_alternative_name,moat_type,moat_evidence,competitive_context_brief,key_question_for_meeting
0,https://www.ycombinator.com/companies/zymbly,Zymbly,W26,Aviation/Aerospace,Automates admin for aircraft mechanics,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Highly regulated aviation industry may resist AI automation,Perfect founder-market fit with deep aviation maintenance expertise,https://www.zymbly.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,2,"Website has authentication flow, pricing page, and demo booking functionality indicating a live product with commercial intent.","No external user validation found - no reviews, testimonials, or third-party evidence that real aircraft mechanics are using the product.",1,"Operating system for automotive retail, automating technician administrative work",False,,EMERGING,False,False,,REGULATORY,Aircraft maintenance is heavily regulated by FAA with strict compliance requirements for documentation and procedures.,Zymbly appears to be in a relatively uncrowded space with only one similar batch peer focused on automotive technician admin (different vertical). No major funded incumbents identified in aircraft maintenance automation specifically. The regulatory nature of aviation maintenance creates barriers to entry but also means any solution must meet strict compliance standards.,How do you ensure FAA compliance while automating maintenance documentation workflows?
1,https://www.ycombinator.com/companies/general-legal,General Legal,W26,Legal Tech,AI native law firm for growth stage companies,STRONG,TRUE,TRUE,TRUE,TRUE,FALSE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Competing against established BigLaw firms with deep client relationships,Perfect founder-market fit with legal expertise plus AI/tech background,https://general.legal,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,1,Website has pricing page and social proof indicating they are operating as a live law firm with paying clients.,No external user validation or evidence of product iteration despite claiming to be an AI-native service.,2,"AI-native legal services for startups with same-day turnaround, AI-native law firm and software platform for startups",False,,EMERGING,False,False,,NONE_OBVIOUS,No clear moat signals found - appears to be a service business targeting startups/SMBs without obvious technical or regulatory barriers.,"Three AI-native law firms in this batch targeting similar startup/SMB market, suggesting this is an emerging but increasingly crowded space. No major funded incumbents identified, but traditional law firms and legal tech companies likely pose competitive threats. The founder will need to articulate what makes their AI approach technically superior and defensible beyond just being 'AI-native.'","With 2 other AI law firms in your batch, what's your technical differentiation?"
2,https://www.ycombinator.com/companies/mendral,Mendral,W26,DevOps/Infrastructure,AI DevOps Engineer that autonomously handles CI failures and delivery pipeline issues,STRONG,TRUE,TRUE,FALSE,TRUE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Market may be crowded with DevOps automation tools,Founders literally built Docker and have deep DevOps expertise,https://mendral.com/,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Website has authentication flow, pricing page, and is not waitlist-only, indicating a live product with paying tiers.","No external user validation found - no reviews, ratings, or third-party evidence that real users are actively using the product.",4,"AI QA engineer that reads source code to catch bugs, AI agents that automatically code test and deploy software fixes, AIOps agent for ML teams that automates infrastructure monitoring and optimization, AI SRE agent that triages coordinates and fixes production incidents",False,,EMERGING,False,False,,TECHNICAL_IP,Founded by Docker's original team (Sam Alba and Andrea Luzzardi) with deep DevOps infrastructure expertise from scaling Docker from early days to 100+ engineers.,"Emerging but crowded space with 4 other AI DevOps/SRE tools in this batch alone, plus the broader market trend toward AI-powered development automation. The founders' Docker pedigree provides credibility, but they'll need to prove their autonomous CI fixing approach is technically superior to the many other AI coding assistants entering the market.","With Docker's credibility, how is your CI fixing approach technically differentiated from other AI coding tools?"
3,https://www.ycombinator.com/companies/end-close,End Close,W26,Fintech,AI powered reconciliation for high-volume payments companies,STRONG,TRUE,TRUE,FALSE,TRUE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Competing against established legacy providers with existing enterprise relationships,"CEO built exact product at Modern Treasury, processing $1T with 99.995% automation",https://endclose.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,1,"Company website shows auth flow, pricing page, and product documentation for transaction reconciliation automation.","No external user validation found - no reviews, testimonials, or third-party evidence of actual customers using the product.",0,,False,,GREENFIELD,False,False,,REGULATORY,Website emphasizes compliance reporting and being 'audit-ready' which suggests regulatory requirements are central to the business model.,End Close appears unique in this batch - no other companies are building payment reconciliation tools. The financial reconciliation space typically has regulatory compliance requirements that create switching costs. The founder will need to demonstrate why their AI approach is superior to existing enterprise solutions and how they'll handle the complex integrations that payments companies require.,What makes your AI reconciliation more accurate than rule-based systems incumbents use?
4,https://www.ycombinator.com/companies/ndea-com,Ndea,W26,Artificial Intelligence,Building AGI that can innovate and accelerate scientific discovery,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Extremely ambitious AGI timeline with massive technical and competitive risks,World-class AI expertise with Francois Chollet (Keras creator) leading technical vision,https://ndea.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,"Company website exists with clear mission statement about building AGI for scientific discovery, founded by notable AI researchers François Chollet and Mike Knoop.","No evidence of any built product, live system, or user validation - appears to be purely in concept/research stage with only a landing page.",4,"AI co-scientists for end-to-end scientific research automation, Scaling formal verification with AI for scientific discovery, Autonomous AI research engineer that generates and tests thousands of solution approaches, AI-powered drug discovery using parasite biology for autoimmune diseases",False,,EMERGING,False,False,,DATA_MOAT,Website mentions proprietary data and describes a unified architecture blending pattern recognition with formal reasoning.,"Emerging space with 4 other AI-for-science companies in this batch alone, including direct competitors doing end-to-end research automation and formal verification. No major funded incumbents identified yet, suggesting this is still early-stage territory. The founder will need to articulate what makes their 'unified architecture' technically superior to other AI research approaches.","With 4 batch peers in AI science, what's your technical differentiation beyond 'unified architecture'?"
5,https://www.ycombinator.com/companies/crosslayer-labs,Crosslayer Labs,W26,Cybersecurity,"Protect, monitor and defend your Internet presence",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,10.0,TRUE,FALSE,TRUE,FALSE,7.0,Academic team may struggle with commercial execution and sales,World-class security expertise with proven impact on global internet standards,https://www.crosslayerlabs.com/,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"Company has auth flow, pricing page, and active GitHub API library with recent commits, indicating a functional product.","No external user validation found - no reviews, ratings, or third-party evidence of actual customers using the product.",1,AI agents that run continuous penetration tests against apps and infrastructure,False,,EMERGING,False,False,,TECHNICAL_IP,Founding team invented Multi-Perspective Issuance Corroboration which now secures every HTTPS certificate issuance globally.,"Web security is an emerging space with one batch peer doing continuous pentesting (different angle). No major funded competitors identified in the evidence. The founders have deep technical credibility having invented infrastructure that secures all HTTPS certificates globally, suggesting real technical differentiation in a space where trust and proven security expertise matter enormously.",How does your HTTPS certificate security background translate into defensible advantages for broader web infrastructure protection?
6,https://www.ycombinator.com/companies/martini,Martini,W26,Media/Entertainment,AI video production platform for professional filmmakers,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in competitive AI video space,Cannes-screened cinematographer building tools for his own industry,https://martini.film,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,7,2,"Website has authentication flow, pricing page, and claims '200+ Films Made' with professional AI video production platform.","No external user validation despite claims of 200+ films made - no reviews, ratings, or third-party evidence of actual users.",1,Agentic video editor for growth/marketing teams and creators,False,,EMERGING,False,False,,NONE_OBVIOUS,Website shows enterprise positioning and integrations but no clear technical differentiation or proprietary assets mentioned.,"AI video production is heating up with one direct batch competitor targeting creators/marketers while Martini focuses on professional filmmakers. The space lacks major funded incumbents but is attracting startup attention. Martini's professional positioning could be a differentiator, but they'll need to prove technical superiority over consumer-focused tools scaling up-market.",What makes your AI video tech better than tools like Runway that filmmakers could use?
7,https://www.ycombinator.com/companies/condor-energy,Condor Energy,W26,Energy,AI-powered software for enterprise energy procurement optimization,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Highly regulated energy market with complex compliance requirements,Deep domain expertise with former electricity trader and energy physicists,https://www.condor.energy,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,2,"Company website shows a live dashboard with authentication flow and pricing page, indicating an operational B2B SaaS product.",No external user validation or evidence of customer adoption despite having a live product with pricing.,1,AI agents for power grid planning,False,,EMERGING,False,False,,NONE_OBVIOUS,No clear moat signals found in available evidence - appears to be software-based optimization without proprietary data or technical IP mentioned.,"Energy procurement optimization is an emerging space with one other batch peer building AI for power grid planning (adjacent but different customer). No major funded incumbents identified, suggesting this is still early-stage market development. The founder will need to articulate what prevents energy consultancies or larger software vendors from replicating their optimization algorithms.",What proprietary data or algorithms prevent energy consultants from building similar optimization tools?
8,https://www.ycombinator.com/companies/unifold,Unifold,W26,Fintech,Multi-chain deposit and payment infrastructure for crypto apps,STRONG,TRUE,TRUE,TRUE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Crypto market volatility and regulatory uncertainty could limit adoption,Strong crypto/fintech domain expertise with prior successful exit to MoonPay,https://unifold.io,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,7,2,"Company website shows auth flow, pricing page, and documentation indicating a live product with commercial offerings.","No external user validation found - no reviews, testimonials, or third-party evidence of actual customers using the product.",2,"Stablecoin-powered global neobank for borderless payments, Agentic payments platform enabling AI agents to discover and pay for APIs",False,,EMERGING,False,False,,TECHNICAL_IP,Multi-chain routing and settlement infrastructure requires complex technical orchestration across different blockchain protocols.,"Emerging space with 2 batch peers in adjacent crypto payments territory but no direct multi-chain deposit infrastructure competitors identified. No major funded incumbents found, suggesting early-stage market. The technical complexity of orchestrating deposits across Bitcoin, Ethereum, Solana and other chains creates implementation barriers.",What prevents existing payment processors from adding multi-chain routing to compete with you?
9,https://www.ycombinator.com/companies/origami-robotics,Origami Robotics,W26,Robotics,Building manipulate anything AI model with matching robotic hand hardware,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Hardware manufacturing complexity and scaling data collection partnerships,Deep robotics expertise with novel approach to embodiment gap problem,https://www.origami-robotics.com,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,1,Company website has auth flow and mentions building infrastructure for general manipulation in robotics with specific focus on dexterous robotic hands.,"No evidence of a live product - only a waitlist signup and research content scheduled for Feb 2026, suggesting very early stage development.",3,"Robots that 10x manual industry work, AI-powered robots for dexterous tasks in e-commerce warehouses, Real-world human movement data for humanoid robots",False,,EMERGING,False,False,,TECHNICAL_IP,Company specifically mentions solving 'The Dexterity Deadlock' with proprietary approach to high-ratio gearboxes and sim-to-real transfer problems.,"Emerging robotics manipulation space with 3 other robotics companies in the batch, but Origami appears focused on the specific technical challenge of robotic hand dexterity rather than general automation. No major funded incumbents identified, suggesting this is still early-stage infrastructure. The key differentiation claim centers on solving fundamental gearbox and force transparency problems that plague current robotic hands.",What's your technical breakthrough on gearboxes that others haven't solved?
10,https://www.ycombinator.com/companies/polymorph,Polymorph,W26,B2B,"Personalization infra that improves retention, LTV, and CAC",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in founding team,Deep ML/personalization expertise from Meta and Scale AI,https://usepolymorph.com/,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,7,1,"Company website shows a live product with 'Try now' functionality and integration with major data platforms like PostHog, ClickHouse, Datadog, Amplitude, and Snowflake.","No external user validation, reviews, or evidence that anyone outside the company is actually using the personalization infrastructure product.",0,,True,"PostHog, Amplitude, Datadog, Snowflake",COMPETITIVE,False,False,,DATA_MOAT,Live user profiles that learn from real product usage to create personalized messaging suggests a data flywheel where more usage improves personalization accuracy.,"Polymorph is unique in their YC batch but operates in a competitive personalization infrastructure space with well-funded incumbents like PostHog (2.1M), Amplitude (1.8M), and Datadog (890K) already serving similar customer analytics needs. The company appears to differentiate by focusing specifically on real-time personalized messaging rather than general analytics, but will need to prove their data advantage is defensible against these established players.",How does your real-time personalization engine create switching costs that prevent customers from using existing analytics tools?
11,https://www.ycombinator.com/companies/spotpay,SpotPay,W26,Fintech,Stablecoin-powered global neobank for borderless payments,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Regulatory complexity across 40+ countries for crypto-based banking,Perfect founder-market fit with Google/Brex fintech expertise,https://www.spotpay.ai/,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,6,7,3,"Live mobile app with 19 user reviews averaging 4.26 stars on the App Store, demonstrating real user adoption.","No evidence of paying customers or revenue model despite being positioned as a neobank, with only a free app available.",2,"Multi-chain deposit and payment infrastructure for crypto apps, Financial infrastructure for autonomous AI agents to hold and spend money",True,"Wise, Revolut, Circle, Coinbase, Stripe",CROWDED,False,False,,REGULATORY,Neobanking requires financial licenses and regulatory compliance across multiple jurisdictions for global operations.,"SpotPay enters an extremely crowded space with established neobanks like Wise and Revolut dominating cross-border payments, plus major crypto players like Circle and Coinbase offering stablecoin infrastructure. Two batch peers are building adjacent crypto payment infrastructure. The stablecoin angle is the main differentiator but faces regulatory headwinds and established competition.",What regulatory licenses do you have secured for stablecoin banking operations?
